date,ticker,close,sma_200,drawdown_6m,zscore,buy_score,tier,trend_score,drawdown_score,zscore_score,suggested_buy_usd
2022-05-03,VOO,362.4280090332031,387.91714965820313,-0.12573925609324732,-1.7054526296831056,72,BUY,0.3,1.0,0.6821810518732423,300.0
2022-05-04,VOO,373.4221801757813,387.9275563049316,-0.09921875546365055,-0.7579633765952901,53,DCA_ONLY,0.3,0.826822962197088,0.303185350638116,200.0
2022-05-05,VOO,360.3067932128906,387.85678085327146,-0.13085612254625723,-1.6703852598115705,72,BUY,0.3,1.0,0.6681541039246282,300.0
2022-05-06,VOO,358.0436096191406,387.7707061767578,-0.1363154483239406,-1.6875376534187416,72,BUY,0.3,1.0,0.6750150613674967,300.0
2022-05-09,VOO,346.4906921386719,387.60812149047854,-0.16418377521653083,-2.2457236821796567,79,STRONG_BUY,0.3,1.0,0.8982894728718627,500.0
2022-05-10,VOO,347.3808898925781,387.4451614379883,-0.16203641096444044,-1.9772958771940963,76,STRONG_BUY,0.3,1.0,0.7909183508776385,500.0
2022-05-11,VOO,341.7844543457031,387.2626547241211,-0.17553631655255653,-2.1284437197861914,78,STRONG_BUY,0.3,1.0,0.8513774879144765,500.0
2022-05-12,VOO,341.519287109375,387.07985275268555,-0.17617596166693472,-1.9622602959417423,76,STRONG_BUY,0.3,1.0,0.7849041183766969,500.0
2022-05-13,VOO,349.57781982421875,386.9291891479492,-0.15673690444597155,-1.3691008747304163,68,BUY,0.3,1.0,0.5476403498921665,300.0
2022-05-16,VOO,348.3277893066406,386.7815545654297,-0.1597522691058919,-1.3514654719154446,68,BUY,0.3,1.0,0.5405861887661778,300.0
2022-05-17,VOO,355.2974548339844,386.6726109313965,-0.14293981306815062,-0.8731718870055961,62,BUY,0.3,1.0,0.34926875480223846,300.0
2022-05-18,VOO,341.2257080078125,386.47807861328124,-0.1768841428155501,-1.6346154547373937,72,BUY,0.3,1.0,0.6538461818949575,300.0
2022-05-19,VOO,338.94354248046875,386.28122650146486,-0.1823892574367303,-1.6438312789290686,72,BUY,0.3,1.0,0.6575325115716274,300.0
2022-05-20,VOO,339.02874755859375,386.07299087524416,-0.182183722949523,-1.5322042910159972,70,BUY,0.3,1.0,0.6128817164063989,300.0
2022-05-23,VOO,345.4585266113281,385.89362396240233,-0.16667359879329469,-1.074328169539205,65,BUY,0.3,1.0,0.42973126781568205,300.0
2022-05-24,VOO,342.96807861328125,385.7036323547363,-0.17268113922937078,-1.1528610983246894,66,BUY,0.3,1.0,0.46114443932987575,300.0
2022-05-25,VOO,345.8279113769531,385.52554962158206,-0.16578255673270836,-0.9109239832260422,63,BUY,0.3,1.0,0.36436959329041685,300.0
2022-05-26,VOO,352.7027893066406,385.377248840332,-0.14919875045043485,-0.4203600832401935,57,BUY,0.3,1.0,0.1681440332960774,300.0
2022-05-27,VOO,361.5473327636719,385.2675939941406,-0.12786365230808527,0.22288631425897742,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-05-31,VOO,359.53973388671875,385.1441055297852,-0.13270644823965083,0.13986397067645345,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-06-01,VOO,356.5284729003906,385.00096786499023,-0.1399703108672311,-0.004782799199802268,52,DCA_ONLY,0.3,1.0,0.0019131196799209074,200.0
